seri_no,ram_gb,kamera_mp,ekran_boyutu,batarya_mah,storage_gb,cihaz_fiyat,cikis_yili,cihaz_durum_puan,segment_puan,cihaz_model
7,4.0,12.0,6.1,3110.0,256.0,20699,2019.0,3,2,11.0
7,4.0,12.0,5.8,3046.0,64.0,20899,2019.0,2,4,11.0
7,4.0,12.0,6.1,3110.0,256.0,20999,2019.0,4,2,11.0
7,4.0,12.0,5.8,3046.0,64.0,21099,2019.0,1,4,11.0
8,4.0,12.0,5.4,2227.0,128.0,21199,2020.0,3,1,12.0
7,4.0,12.0,5.8,3046.0,64.0,21199,2019.0,3,4,11.0
7,4.0,12.0,5.8,3046.0,64.0,21399,2019.0,2,4,11.0
7,4.0,12.0,5.8,3046.0,64.0,21699,2019.0,3,4,11.0
8,4.0,12.0,6.1,2815.0,64.0,21849,2020.0,1,2,12.0
7,4.0,12.0,5.8,3046.0,64.0,21999,2019.0,4,4,11.0
8,4.0,12.0,6.1,2815.0,64.0,22149,2020.0,2,2,12.0
7,4.0,12.0,6.5,3969.0,64.0,22399,2019.0,1,5,11.0
8,4.0,12.0,5.4,2227.0,256.0,22449,2020.0,3,1,12.0
8,4.0,12.0,6.1,2815.0,64.0,22599,2020.0,1,2,12.0
8,4.0,12.0,5.4,2227.0,256.0,22599,2020.0,1,1,12.0
8,4.0,12.0,6.1,2815.0,64.0,22899,2020.0,2,2,12.0
8,4.0,12.0,5.4,2227.0,256.0,22899,2020.0,2,1,12.0
8,4.0,12.0,6.1,2815.0,64.0,22949,2020.0,3,2,12.0
7,4.0,12.0,5.8,3046.0,256.0,22999,2019.0,1,4,11.0
8,4.0,12.0,5.4,2227.0,256.0,23199,2020.0,3,1,12.0
8,4.0,12.0,6.1,2815.0,64.0,23249,2020.0,4,2,12.0
7,4.0,12.0,6.5,3969.0,64.0,23399,2019.0,2,5,11.0
7,4.0,12.0,5.8,3046.0,256.0,23499,2019.0,1,4,11.0
7,4.0,12.0,6.5,3969.0,64.0,23499,2019.0,4,5,11.0
8,4.0,12.0,6.1,2815.0,64.0,23699,2020.0,3,2,12.0
7,4.0,12.0,6.5,3969.0,64.0,23699,2019.0,3,5,11.0
8,4.0,12.0,6.1,2815.0,128.0,23749,2020.0,1,2,12.0
8,4.0,12.0,6.1,2815.0,64.0,23999,2020.0,4,2,12.0
7,4.0,12.0,6.5,3969.0,64.0,23999,2019.0,4,5,11.0
7,4.0,12.0,5.8,3046.0,256.0,23999,2019.0,3,4,11.0
7,4.0,12.0,5.8,3046.0,256.0,23999,2019.0,2,4,11.0
8,4.0,12.0,6.1,2815.0,128.0,24049,2020.0,2,2,12.0
7,4.0,12.0,5.8,3046.0,256.0,24299,2019.0,4,4,11.0
8,4.0,12.0,6.1,2815.0,128.0,24499,2020.0,1,2,12.0
7,4.0,12.0,5.8,3046.0,256.0,24499,2019.0,3,4,11.0
8,4.0,12.0,6.1,2815.0,128.0,24799,2020.0,2,2,12.0
7,4.0,12.0,5.8,3046.0,256.0,24799,2019.0,4,4,11.0
8,4.0,12.0,6.1,2815.0,128.0,24949,2020.0,3,2,12.0
7,4.0,12.0,6.5,3969.0,256.0,25049,2019.0,1,5,11.0
7,4.0,12.0,6.5,3969.0,512.0,25099,2019.0,3,5,11.0
8,4.0,12.0,6.1,2815.0,128.0,25249,2020.0,4,2,12.0
7,4.0,12.0,6.5,3969.0,256.0,25349,2019.0,2,5,11.0
7,4.0,12.0,6.5,3969.0,256.0,25549,2019.0,1,5,11.0
7,4.0,12.0,6.5,3969.0,256.0,25649,2019.0,3,5,11.0
8,4.0,12.0,6.1,2815.0,128.0,25699,2020.0,3,2,12.0
7,4.0,12.0,6.5,3969.0,256.0,25849,2019.0,2,5,11.0
8,4.0,12.0,6.1,2815.0,128.0,25999,2020.0,4,2,12.0
7,4.0,12.0,6.5,3969.0,256.0,26149,2019.0,3,5,11.0
7,4.0,12.0,5.8,3046.0,512.0,26599,2019.0,1,4,11.0
7,4.0,12.0,5.8,3046.0,512.0,26899,2019.0,2,4,11.0
8,4.0,12.0,6.1,2815.0,256.0,27149,2020.0,2,2,12.0
7,4.0,12.0,5.8,3046.0,512.0,27199,2019.0,3,4,11.0
8,4.0,12.0,6.1,2815.0,256.0,27449,2020.0,3,2,12.0
8,4.0,12.0,6.1,2815.0,256.0,27599,2020.0,1,2,12.0
9,4.0,12.0,6.1,3227.0,128.0,27699,2021.0,3,2,13.0
8,4.0,12.0,6.1,2815.0,256.0,27749,2020.0,4,2,12.0
8,4.0,12.0,6.1,2815.0,256.0,27899,2020.0,2,2,12.0
8,4.0,12.0,6.1,2815.0,256.0,28199,2020.0,3,2,12.0
7,4.0,12.0,6.5,3969.0,512.0,28199,2019.0,3,5,11.0
8,6.0,12.0,6.1,2815.0,128.0,28299,2020.0,1,4,12.0
7,4.0,12.0,6.5,3969.0,512.0,28399,2019.0,2,5,11.0
8,4.0,12.0,6.1,2815.0,256.0,28499,2020.0,4,2,12.0
9,4.0,12.0,5.4,2406.0,128.0,28599,2021.0,1,1,13.0
7,4.0,12.0,6.5,3969.0,512.0,28699,2019.0,3,5,11.0
9,4.0,12.0,5.4,2406.0,128.0,29199,2021.0,3,1,13.0
9,4.0,12.0,5.4,2406.0,128.0,29599,2021.0,1,1,13.0
9,4.0,12.0,6.1,3227.0,128.0,29699,2021.0,1,2,13.0
9,4.0,12.0,5.4,2406.0,128.0,29899,2021.0,2,1,13.0
9,4.0,12.0,6.1,3227.0,128.0,29999,2021.0,2,2,13.0
9,4.0,12.0,5.4,2406.0,128.0,30199,2021.0,3,1,13.0
9,4.0,12.0,6.1,3227.0,128.0,30299,2021.0,3,2,13.0
9,4.0,12.0,5.4,2406.0,128.0,30499,2021.0,4,1,13.0
9,4.0,12.0,6.1,3227.0,128.0,30599,2021.0,4,2,13.0
9,4.0,12.0,6.1,3227.0,128.0,30699,2021.0,1,2,13.0
8,6.0,12.0,6.1,2815.0,128.0,30849,2020.0,1,4,12.0
